sample	tb_group	mode	pct	clade_reads	taxon_reads	rank_code	taxid	name
SRR28476460	neg	relaxed	NA	4	4	S	2760308	Propioniciclava sp. MC1595
SRR28476460	neg	relaxed	NA	3	3	S	2714937	Propioniciclava coleopterorum
SRR28476461	neg	relaxed	NA	82131	81828	S	1747	Cutibacterium acnes
SRR28476461	neg	relaxed	NA	1132	1132	S	33011	Cutibacterium granulosum
SRR28476461	neg	relaxed	NA	162	152	S	33010	Cutibacterium avidum
SRR28476461	neg	relaxed	NA	137	137	S	2559073	Cutibacterium modestum
SRR28476461	neg	relaxed	NA	43	43	S	3016342	Cutibacterium equinum
SRR28476461	neg	relaxed	NA	483	483	S	2662261	Raineyella fluvialis
SRR28476461	neg	relaxed	NA	2	2	S	3081204	Raineyella sp. LH-20
SRR28476461	neg	relaxed	NA	55	0	S	29405	Microlunatus phosphovorus
SRR28476461	neg	relaxed	NA	37	37	S	2596828	Microlunatus elymi
SRR28476461	neg	relaxed	NA	31	31	S	546874	Microlunatus sagamiharensis
SRR28476461	neg	relaxed	NA	25	25	S	630515	Microlunatus soli
SRR28476461	neg	relaxed	NA	93	93	S	556499	Propionibacterium acidifaciens
SRR28476461	neg	relaxed	NA	31	31	S	119981	Propionibacterium australiense
SRR28476461	neg	relaxed	NA	20	20	S	1744	Propionibacterium freudenreichii
SRR28476461	neg	relaxed	NA	36	36	S	2161816	Tessaracoccus timonensis
SRR28476461	neg	relaxed	NA	30	30	S	2760310	Tessaracoccus sp. MC1865
SRR28476461	neg	relaxed	NA	25	25	S	1610493	Tessaracoccus flavus
SRR28476461	neg	relaxed	NA	9	9	S	1332264	Tessaracoccus aquimaris
SRR28476461	neg	relaxed	NA	2	2	S	399497	Tessaracoccus flavescens
SRR28476461	neg	relaxed	NA	2	2	S	1285901	Tessaracoccus defluvii
SRR28476466	neg	relaxed	NA	5228	5227	S	87883	Burkholderia multivorans
SRR28476466	neg	relaxed	NA	1266	1266	S	60552	Burkholderia vietnamiensis
SRR28476466	neg	relaxed	NA	1150	1047	S	95486	Burkholderia cenocepacia
SRR28476466	neg	relaxed	NA	987	983	S	152480	Burkholderia ambifaria
SRR28476466	neg	relaxed	NA	651	248	S	292	Burkholderia cepacia
SRR28476466	neg	relaxed	NA	367	367	S	488732	Burkholderia diffusa
SRR28476466	neg	relaxed	NA	354	155	S	101571	Burkholderia ubonensis
SRR28476466	neg	relaxed	NA	181	181	S	482957	Burkholderia lata
SRR28476466	neg	relaxed	NA	156	156	S	60550	Burkholderia pyrrocinia
SRR28476466	neg	relaxed	NA	153	153	S	488447	Burkholderia contaminans
SRR28476466	neg	relaxed	NA	125	125	S	1503054	Burkholderia stagnalis
SRR28476466	neg	relaxed	NA	105	105	S	1207504	Burkholderia pseudomultivorans
SRR28476466	neg	relaxed	NA	103	103	S	95485	Burkholderia stabilis
SRR28476466	neg	relaxed	NA	96	96	S	179879	Burkholderia anthina
SRR28476466	neg	relaxed	NA	57	57	S	488446	Burkholderia latens
SRR28476466	neg	relaxed	NA	55	55	S	488729	Burkholderia metallica
SRR28476466	neg	relaxed	NA	33	33	S	152500	Burkholderia dolosa
SRR28476466	neg	relaxed	NA	29	29	S	1503055	Burkholderia territorii
SRR28476466	neg	relaxed	NA	14	14	S	488731	Burkholderia seminalis
SRR28476466	neg	relaxed	NA	5	5	S	488730	Burkholderia arboris
SRR28476467	neg	relaxed	NA	3961	1555	S	28450	Burkholderia pseudomallei
SRR28476467	neg	relaxed	NA	1757	271	S	57975	Burkholderia thailandensis
SRR28476467	neg	relaxed	NA	690	688	S	13373	Burkholderia mallei
SRR28476467	neg	relaxed	NA	133	132	S	342113	Burkholderia oklahomensis
SRR28476467	neg	relaxed	NA	121	121	S	1385591	Burkholderia mayonis
SRR28476467	neg	relaxed	NA	32	32	S	1503053	Burkholderia singularis
SRR28476467	neg	relaxed	NA	3	3	S	430531	Burkholderia humptydooensis
SRR28476467	neg	relaxed	NA	1	1	S	1637837	Burkholderia savannae
SRR28476467	neg	relaxed	NA	1721	1720	S	87883	Burkholderia multivorans
SRR28476467	neg	relaxed	NA	837	837	S	60552	Burkholderia vietnamiensis
SRR28476467	neg	relaxed	NA	818	751	S	95486	Burkholderia cenocepacia
SRR28476467	neg	relaxed	NA	744	744	S	152480	Burkholderia ambifaria
SRR28476467	neg	relaxed	NA	431	164	S	292	Burkholderia cepacia
SRR28476467	neg	relaxed	NA	223	223	S	488732	Burkholderia diffusa
SRR28476467	neg	relaxed	NA	212	111	S	101571	Burkholderia ubonensis
SRR28476467	neg	relaxed	NA	130	130	S	482957	Burkholderia lata
SRR28476467	neg	relaxed	NA	109	109	S	60550	Burkholderia pyrrocinia
SRR28476467	neg	relaxed	NA	109	109	S	488447	Burkholderia contaminans
SRR28476467	neg	relaxed	NA	108	108	S	1503054	Burkholderia stagnalis
SRR28476467	neg	relaxed	NA	96	96	S	179879	Burkholderia anthina
SRR28476469	neg	relaxed	NA	336389	335866	S	1747	Cutibacterium acnes
SRR28476469	neg	relaxed	NA	6786	6786	S	33011	Cutibacterium granulosum
SRR28476469	neg	relaxed	NA	615	611	S	33010	Cutibacterium avidum
SRR28476469	neg	relaxed	NA	269	269	S	2559073	Cutibacterium modestum
SRR28476469	neg	relaxed	NA	111	111	S	3016342	Cutibacterium equinum
SRR28476469	neg	relaxed	NA	229	229	S	119981	Propionibacterium australiense
SRR28476469	neg	relaxed	NA	132	132	S	556499	Propionibacterium acidifaciens
SRR28476469	neg	relaxed	NA	29	29	S	1744	Propionibacterium freudenreichii
SRR28476469	neg	relaxed	NA	385	385	S	1750	Arachnia propionica
SRR28476469	neg	relaxed	NA	4	4	S	1547448	Arachnia rubra
SRR28476469	neg	relaxed	NA	12	12	S	1285901	Tessaracoccus defluvii
SRR28476469	neg	relaxed	NA	11	11	S	1332264	Tessaracoccus aquimaris
SRR28476469	neg	relaxed	NA	8	8	S	1610493	Tessaracoccus flavus
SRR28476469	neg	relaxed	NA	6	6	S	399497	Tessaracoccus flavescens
SRR28476469	neg	relaxed	NA	2	2	S	2161816	Tessaracoccus timonensis
SRR28476469	neg	relaxed	NA	2	2	S	2760310	Tessaracoccus sp. MC1865
SRR28476469	neg	relaxed	NA	27	27	S	630515	Microlunatus soli
SRR28476469	neg	relaxed	NA	19	19	S	546874	Microlunatus sagamiharensis
SRR28476469	neg	relaxed	NA	17	0	S	29405	Microlunatus phosphovorus
SRR28476469	neg	relaxed	NA	5	5	S	2596828	Microlunatus elymi
SRR28476471	neg	relaxed	NA	1834	1834	S	2984843	Methylobacterium sp. FF17
SRR28476471	neg	relaxed	NA	1280	1280	S	739141	Methylobacterium sp. XJLW
SRR28476471	neg	relaxed	NA	76	76	S	2603276	Methylobacterium sp. WL1
SRR28476471	neg	relaxed	NA	72	72	S	925818	Methylobacterium sp. AMS5
SRR28476471	neg	relaxed	NA	31	31	S	3038924	Methylobacterium sp. 391_Methyba4
SRR28476471	neg	relaxed	NA	12	12	S	2202826	Methylobacterium sp. 17Sr1-1
SRR28476471	neg	relaxed	NA	9	9	S	2894310	Methylobacterium sp. NMS14P
SRR28476471	neg	relaxed	NA	1	1	S	2718876	Methylobacterium sp. SyP6R
SRR28476471	neg	relaxed	NA	1	1	S	3138063	Methylobacterium sp. CB376
SRR28476471	neg	relaxed	NA	992	992	S	410	Methylobacterium organophilum
SRR28476471	neg	relaxed	NA	597	597	S	107400	Methylobacterium fujisawaense
SRR28476471	neg	relaxed	NA	487	31	S	31998	Methylobacterium radiotolerans
SRR28476471	neg	relaxed	NA	318	318	S	570505	Methylobacterium bullatum
SRR28476471	neg	relaxed	NA	251	251	S	374432	Methylobacterium tardum
SRR28476471	neg	relaxed	NA	214	214	S	2202825	Methylobacterium durans
SRR28476471	neg	relaxed	NA	213	0	S	334852	Methylobacterium oryzae
SRR28476471	neg	relaxed	NA	156	156	S	269660	Methylobacterium brachiatum
SRR28476471	neg	relaxed	NA	154	154	S	2202828	Methylobacterium radiodurans
SRR28476471	neg	relaxed	NA	103	103	S	270351	Methylobacterium aquaticum
SRR28476471	neg	relaxed	NA	37	37	S	2202827	Methylobacterium terrae
SRR28476479	neg	relaxed	NA	310341	309603	S	1747	Cutibacterium acnes
SRR28476479	neg	relaxed	NA	5719	5719	S	33011	Cutibacterium granulosum
SRR28476479	neg	relaxed	NA	695	695	S	2559073	Cutibacterium modestum
SRR28476479	neg	relaxed	NA	383	383	S	33010	Cutibacterium avidum
SRR28476479	neg	relaxed	NA	139	139	S	3016342	Cutibacterium equinum
SRR28476479	neg	relaxed	NA	203	203	S	546874	Microlunatus sagamiharensis
SRR28476479	neg	relaxed	NA	46	46	S	630515	Microlunatus soli
SRR28476479	neg	relaxed	NA	35	0	S	29405	Microlunatus phosphovorus
SRR28476479	neg	relaxed	NA	14	14	S	2596828	Microlunatus elymi
SRR28476479	neg	relaxed	NA	57	57	S	1610493	Tessaracoccus flavus
SRR28476479	neg	relaxed	NA	40	40	S	2161816	Tessaracoccus timonensis
SRR28476479	neg	relaxed	NA	24	24	S	2760310	Tessaracoccus sp. MC1865
SRR28476479	neg	relaxed	NA	2	2	S	3041766	Tessaracoccus sp. T21
SRR28476479	neg	relaxed	NA	19	19	S	399497	Tessaracoccus flavescens
SRR28476479	neg	relaxed	NA	12	12	S	1285901	Tessaracoccus defluvii
SRR28476479	neg	relaxed	NA	285	285	S	1750	Arachnia propionica
SRR28476479	neg	relaxed	NA	15	15	S	1547448	Arachnia rubra
SRR28476479	neg	relaxed	NA	75	75	S	1744	Propionibacterium freudenreichii
SRR28476479	neg	relaxed	NA	62	62	S	119981	Propionibacterium australiense
SRR28476479	neg	relaxed	NA	50	50	S	556499	Propionibacterium acidifaciens
SRR28476481	neg	relaxed	NA	309906	309293	S	1747	Cutibacterium acnes
SRR28476481	neg	relaxed	NA	5351	5351	S	33011	Cutibacterium granulosum
SRR28476481	neg	relaxed	NA	830	830	S	2559073	Cutibacterium modestum
SRR28476481	neg	relaxed	NA	289	287	S	33010	Cutibacterium avidum
SRR28476481	neg	relaxed	NA	154	154	S	3016342	Cutibacterium equinum
SRR28476481	neg	relaxed	NA	147	147	S	546874	Microlunatus sagamiharensis
SRR28476481	neg	relaxed	NA	133	0	S	29405	Microlunatus phosphovorus
SRR28476481	neg	relaxed	NA	16	16	S	630515	Microlunatus soli
SRR28476481	neg	relaxed	NA	6	6	S	2596828	Microlunatus elymi
SRR28476481	neg	relaxed	NA	375	375	S	1750	Arachnia propionica
SRR28476481	neg	relaxed	NA	78	78	S	1547448	Arachnia rubra
SRR28476481	neg	relaxed	NA	344	344	S	2057246	Acidipropionibacterium virtanenii
SRR28476481	neg	relaxed	NA	59	59	S	1748	Acidipropionibacterium acidipropionici
SRR28476481	neg	relaxed	NA	36	36	S	1749	Acidipropionibacterium jensenii
SRR28476481	neg	relaxed	NA	188	188	S	1610493	Tessaracoccus flavus
SRR28476481	neg	relaxed	NA	30	30	S	2760310	Tessaracoccus sp. MC1865
SRR28476481	neg	relaxed	NA	23	23	S	399497	Tessaracoccus flavescens
SRR28476481	neg	relaxed	NA	23	23	S	2161816	Tessaracoccus timonensis
SRR28476481	neg	relaxed	NA	7	7	S	1285901	Tessaracoccus defluvii
SRR28476481	neg	relaxed	NA	3	3	S	1332264	Tessaracoccus aquimaris
SRR28476485	neg	relaxed	NA	187320	187053	S	1747	Cutibacterium acnes
SRR28476485	neg	relaxed	NA	3531	3531	S	33011	Cutibacterium granulosum
SRR28476485	neg	relaxed	NA	303	303	S	2559073	Cutibacterium modestum
SRR28476485	neg	relaxed	NA	150	150	S	33010	Cutibacterium avidum
SRR28476485	neg	relaxed	NA	63	63	S	3016342	Cutibacterium equinum
SRR28476485	neg	relaxed	NA	90	90	S	2775081	Propioniciclava soli
SRR28476485	neg	relaxed	NA	22	22	S	2760308	Propioniciclava sp. MC1595
SRR28476485	neg	relaxed	NA	220	0	S	29405	Microlunatus phosphovorus
SRR28476485	neg	relaxed	NA	22	22	S	546874	Microlunatus sagamiharensis
SRR28476485	neg	relaxed	NA	22	22	S	2596828	Microlunatus elymi
SRR28476485	neg	relaxed	NA	9	9	S	630515	Microlunatus soli
SRR28476485	neg	relaxed	NA	319	319	S	1750	Arachnia propionica
SRR28476485	neg	relaxed	NA	189	189	S	1610493	Tessaracoccus flavus
SRR28476485	neg	relaxed	NA	19	19	S	1285901	Tessaracoccus defluvii
SRR28476485	neg	relaxed	NA	148	148	S	119981	Propionibacterium australiense
SRR28476485	neg	relaxed	NA	34	34	S	556499	Propionibacterium acidifaciens
SRR28476485	neg	relaxed	NA	69	69	S	1748	Acidipropionibacterium acidipropionici
SRR28476485	neg	relaxed	NA	52	52	S	2057246	Acidipropionibacterium virtanenii
SRR28476485	neg	relaxed	NA	9	9	S	1749	Acidipropionibacterium jensenii
SRR28476485	neg	relaxed	NA	3	3	S	3081204	Raineyella sp. LH-20
SRR28476490	neg	relaxed	NA	279661	279254	S	1747	Cutibacterium acnes
SRR28476490	neg	relaxed	NA	5434	5434	S	33011	Cutibacterium granulosum
SRR28476490	neg	relaxed	NA	256	256	S	2559073	Cutibacterium modestum
SRR28476490	neg	relaxed	NA	222	217	S	33010	Cutibacterium avidum
SRR28476490	neg	relaxed	NA	27	27	S	3016342	Cutibacterium equinum
SRR28476490	neg	relaxed	NA	441	441	S	2760308	Propioniciclava sp. MC1595
SRR28476490	neg	relaxed	NA	92	92	S	2775081	Propioniciclava soli
SRR28476490	neg	relaxed	NA	82	82	S	2714937	Propioniciclava coleopterorum
SRR28476490	neg	relaxed	NA	154	154	S	630515	Microlunatus soli
SRR28476490	neg	relaxed	NA	134	134	S	546874	Microlunatus sagamiharensis
SRR28476490	neg	relaxed	NA	91	0	S	29405	Microlunatus phosphovorus
SRR28476490	neg	relaxed	NA	41	41	S	2596828	Microlunatus elymi
SRR28476490	neg	relaxed	NA	389	389	S	1750	Arachnia propionica
SRR28476490	neg	relaxed	NA	12	12	S	1547448	Arachnia rubra
SRR28476490	neg	relaxed	NA	133	133	S	1610493	Tessaracoccus flavus
SRR28476490	neg	relaxed	NA	34	34	S	2760310	Tessaracoccus sp. MC1865
SRR28476490	neg	relaxed	NA	8	8	S	1285901	Tessaracoccus defluvii
SRR28476490	neg	relaxed	NA	1	1	S	399497	Tessaracoccus flavescens
SRR28476490	neg	relaxed	NA	72	72	S	119981	Propionibacterium australiense
SRR28476490	neg	relaxed	NA	45	45	S	556499	Propionibacterium acidifaciens
SRR28476491	neg	relaxed	NA	4342	4342	S	34062	Moraxella osloensis
SRR28476491	neg	relaxed	NA	57	57	S	3076087	Moraxella sp. DOX410
SRR28476491	neg	relaxed	NA	2	2	S	2904123	Moraxella sp. ZY210820
SRR28476491	neg	relaxed	NA	56	56	S	90241	Moraxella lincolnii
SRR28476491	neg	relaxed	NA	29	29	S	90239	Moraxella canis
SRR28476491	neg	relaxed	NA	28	28	S	480	Moraxella catarrhalis
SRR28476491	neg	relaxed	NA	2	2	S	476	Moraxella bovis
SRR28476491	neg	relaxed	NA	3632	3590	S	470	Acinetobacter baumannii
SRR28476491	neg	relaxed	NA	146	127	S	48296	Acinetobacter pittii
SRR28476491	neg	relaxed	NA	17	17	S	1530123	Acinetobacter seifertii
SRR28476491	neg	relaxed	NA	16	16	S	471	Acinetobacter calcoaceticus
SRR28476491	neg	relaxed	NA	5	5	S	106654	Acinetobacter nosocomialis
SRR28476491	neg	relaxed	NA	498	498	S	40214	Acinetobacter johnsonii
SRR28476491	neg	relaxed	NA	135	135	S	1827285	Acinetobacter sp. MYb10
SRR28476491	neg	relaxed	NA	64	64	S	3138069	Acinetobacter sp. D009
SRR28476491	neg	relaxed	NA	30	30	S	2743575	Acinetobacter sp. NEB 394
SRR28476491	neg	relaxed	NA	27	27	S	2919376	Acinetobacter sp. AOR07_HL
SRR28476491	neg	relaxed	NA	14	14	S	1808001	Acinetobacter sp. LoGeW2-3
SRR28476491	neg	relaxed	NA	11	11	S	3120518	Acinetobacter sp. KS-LM10
SRR28476491	neg	relaxed	NA	11	11	S	2908637	Acinetobacter sp. SCLZS86
SRR28476494	neg	relaxed	NA	5708	2183	S	28450	Burkholderia pseudomallei
SRR28476494	neg	relaxed	NA	2817	476	S	57975	Burkholderia thailandensis
SRR28476494	neg	relaxed	NA	1105	1103	S	13373	Burkholderia mallei
SRR28476494	neg	relaxed	NA	229	229	S	1385591	Burkholderia mayonis
SRR28476494	neg	relaxed	NA	138	133	S	342113	Burkholderia oklahomensis
SRR28476494	neg	relaxed	NA	44	44	S	1503053	Burkholderia singularis
SRR28476494	neg	relaxed	NA	3	3	S	430531	Burkholderia humptydooensis
SRR28476494	neg	relaxed	NA	3	3	S	1637837	Burkholderia savannae
SRR28476494	neg	relaxed	NA	2402	2400	S	87883	Burkholderia multivorans
SRR28476494	neg	relaxed	NA	1422	1421	S	60552	Burkholderia vietnamiensis
SRR28476494	neg	relaxed	NA	1160	1160	S	152480	Burkholderia ambifaria
SRR28476494	neg	relaxed	NA	1120	1035	S	95486	Burkholderia cenocepacia
SRR28476494	neg	relaxed	NA	672	257	S	292	Burkholderia cepacia
SRR28476494	neg	relaxed	NA	373	180	S	101571	Burkholderia ubonensis
SRR28476494	neg	relaxed	NA	306	306	S	488732	Burkholderia diffusa
SRR28476494	neg	relaxed	NA	152	152	S	60550	Burkholderia pyrrocinia
SRR28476494	neg	relaxed	NA	151	151	S	482957	Burkholderia lata
SRR28476494	neg	relaxed	NA	122	122	S	1503054	Burkholderia stagnalis
SRR28476494	neg	relaxed	NA	117	117	S	488447	Burkholderia contaminans
SRR28476494	neg	relaxed	NA	113	113	S	95485	Burkholderia stabilis
SRR28476495	neg	relaxed	NA	5493	2005	S	28450	Burkholderia pseudomallei
SRR28476495	neg	relaxed	NA	2809	482	S	57975	Burkholderia thailandensis
SRR28476495	neg	relaxed	NA	1042	1032	S	13373	Burkholderia mallei
SRR28476495	neg	relaxed	NA	175	175	S	1385591	Burkholderia mayonis
SRR28476495	neg	relaxed	NA	152	151	S	342113	Burkholderia oklahomensis
SRR28476495	neg	relaxed	NA	46	46	S	1503053	Burkholderia singularis
SRR28476495	neg	relaxed	NA	4	4	S	430531	Burkholderia humptydooensis
SRR28476495	neg	relaxed	NA	2	2	S	1637837	Burkholderia savannae
SRR28476495	neg	relaxed	NA	2083	2083	S	87883	Burkholderia multivorans
SRR28476495	neg	relaxed	NA	1293	1291	S	60552	Burkholderia vietnamiensis
SRR28476495	neg	relaxed	NA	1130	1046	S	95486	Burkholderia cenocepacia
SRR28476495	neg	relaxed	NA	985	983	S	152480	Burkholderia ambifaria
SRR28476495	neg	relaxed	NA	598	231	S	292	Burkholderia cepacia
SRR28476495	neg	relaxed	NA	332	132	S	101571	Burkholderia ubonensis
SRR28476495	neg	relaxed	NA	291	291	S	488732	Burkholderia diffusa
SRR28476495	neg	relaxed	NA	164	164	S	482957	Burkholderia lata
SRR28476495	neg	relaxed	NA	140	140	S	60550	Burkholderia pyrrocinia
SRR28476495	neg	relaxed	NA	138	138	S	488447	Burkholderia contaminans
SRR28476495	neg	relaxed	NA	107	107	S	1503054	Burkholderia stagnalis
SRR28476495	neg	relaxed	NA	103	103	S	95485	Burkholderia stabilis
SRR28476497	neg	relaxed	NA	3869	1489	S	28450	Burkholderia pseudomallei
SRR28476497	neg	relaxed	NA	1707	238	S	57975	Burkholderia thailandensis
SRR28476497	neg	relaxed	NA	652	650	S	13373	Burkholderia mallei
SRR28476497	neg	relaxed	NA	127	127	S	1385591	Burkholderia mayonis
SRR28476497	neg	relaxed	NA	113	111	S	342113	Burkholderia oklahomensis
SRR28476497	neg	relaxed	NA	38	38	S	1503053	Burkholderia singularis
SRR28476497	neg	relaxed	NA	2	2	S	1637837	Burkholderia savannae
SRR28476497	neg	relaxed	NA	1	1	S	430531	Burkholderia humptydooensis
SRR28476497	neg	relaxed	NA	1716	1716	S	87883	Burkholderia multivorans
SRR28476497	neg	relaxed	NA	783	783	S	60552	Burkholderia vietnamiensis
SRR28476497	neg	relaxed	NA	758	758	S	152480	Burkholderia ambifaria
SRR28476497	neg	relaxed	NA	727	668	S	95486	Burkholderia cenocepacia
SRR28476497	neg	relaxed	NA	397	150	S	292	Burkholderia cepacia
SRR28476497	neg	relaxed	NA	227	227	S	488732	Burkholderia diffusa
SRR28476497	neg	relaxed	NA	224	107	S	101571	Burkholderia ubonensis
SRR28476497	neg	relaxed	NA	138	138	S	1503054	Burkholderia stagnalis
SRR28476497	neg	relaxed	NA	98	98	S	60550	Burkholderia pyrrocinia
SRR28476497	neg	relaxed	NA	86	86	S	482957	Burkholderia lata
SRR28476497	neg	relaxed	NA	67	67	S	488447	Burkholderia contaminans
SRR28476497	neg	relaxed	NA	59	59	S	95485	Burkholderia stabilis
SRR28476498	neg	relaxed	NA	1697	1697	S	2984843	Methylobacterium sp. FF17
SRR28476498	neg	relaxed	NA	1486	1486	S	739141	Methylobacterium sp. XJLW
SRR28476498	neg	relaxed	NA	149	149	S	2603276	Methylobacterium sp. WL1
SRR28476498	neg	relaxed	NA	33	33	S	2202826	Methylobacterium sp. 17Sr1-1
SRR28476498	neg	relaxed	NA	6	6	S	925818	Methylobacterium sp. AMS5
SRR28476498	neg	relaxed	NA	6	6	S	2894310	Methylobacterium sp. NMS14P
SRR28476498	neg	relaxed	NA	3	3	S	2718876	Methylobacterium sp. SyP6R
SRR28476498	neg	relaxed	NA	2	2	S	3138063	Methylobacterium sp. CB376
SRR28476498	neg	relaxed	NA	1403	1403	S	410	Methylobacterium organophilum
SRR28476498	neg	relaxed	NA	1276	0	S	31998	Methylobacterium radiotolerans
SRR28476498	neg	relaxed	NA	538	538	S	2202825	Methylobacterium durans
SRR28476498	neg	relaxed	NA	501	501	S	2202828	Methylobacterium radiodurans
SRR28476498	neg	relaxed	NA	471	471	S	107400	Methylobacterium fujisawaense
SRR28476498	neg	relaxed	NA	340	340	S	570505	Methylobacterium bullatum
SRR28476498	neg	relaxed	NA	292	20	S	334852	Methylobacterium oryzae
SRR28476498	neg	relaxed	NA	254	254	S	269660	Methylobacterium brachiatum
SRR28476498	neg	relaxed	NA	200	200	S	374432	Methylobacterium tardum
SRR28476498	neg	relaxed	NA	65	65	S	2202827	Methylobacterium terrae
SRR28476498	neg	relaxed	NA	63	0	S	39956	Methylobacterium mesophilicum
SRR28476498	neg	relaxed	NA	36	36	S	270351	Methylobacterium aquaticum
SRR28476501	neg	relaxed	NA	3647	3647	S	739141	Methylobacterium sp. XJLW
SRR28476501	neg	relaxed	NA	3521	3521	S	2984843	Methylobacterium sp. FF17
SRR28476501	neg	relaxed	NA	281	281	S	2603276	Methylobacterium sp. WL1
SRR28476501	neg	relaxed	NA	91	91	S	2202826	Methylobacterium sp. 17Sr1-1
SRR28476501	neg	relaxed	NA	46	46	S	3038924	Methylobacterium sp. 391_Methyba4
SRR28476501	neg	relaxed	NA	14	14	S	925818	Methylobacterium sp. AMS5
SRR28476501	neg	relaxed	NA	5	5	S	2894310	Methylobacterium sp. NMS14P
SRR28476501	neg	relaxed	NA	1	1	S	1479019	Methylobacterium sp. C1
SRR28476501	neg	relaxed	NA	2090	2090	S	410	Methylobacterium organophilum
SRR28476501	neg	relaxed	NA	1732	10	S	31998	Methylobacterium radiotolerans
SRR28476501	neg	relaxed	NA	1159	1159	S	107400	Methylobacterium fujisawaense
SRR28476501	neg	relaxed	NA	1117	1117	S	2202825	Methylobacterium durans
SRR28476501	neg	relaxed	NA	754	754	S	2202828	Methylobacterium radiodurans
SRR28476501	neg	relaxed	NA	732	25	S	334852	Methylobacterium oryzae
SRR28476501	neg	relaxed	NA	555	555	S	570505	Methylobacterium bullatum
SRR28476501	neg	relaxed	NA	550	550	S	374432	Methylobacterium tardum
SRR28476501	neg	relaxed	NA	542	542	S	269660	Methylobacterium brachiatum
SRR28476501	neg	relaxed	NA	78	78	S	418223	Methylobacterium phyllosphaerae
SRR28476501	neg	relaxed	NA	73	0	S	114616	Methylobacterium nodulans
SRR28476501	neg	relaxed	NA	48	48	S	270351	Methylobacterium aquaticum
SRR28476502	neg	relaxed	NA	3798	3798	S	739141	Methylobacterium sp. XJLW
SRR28476502	neg	relaxed	NA	3488	3488	S	2984843	Methylobacterium sp. FF17
SRR28476502	neg	relaxed	NA	425	425	S	2603276	Methylobacterium sp. WL1
SRR28476502	neg	relaxed	NA	60	60	S	1479019	Methylobacterium sp. C1
SRR28476502	neg	relaxed	NA	55	55	S	2202826	Methylobacterium sp. 17Sr1-1
SRR28476502	neg	relaxed	NA	54	54	S	3138063	Methylobacterium sp. CB376
SRR28476502	neg	relaxed	NA	36	36	S	3038924	Methylobacterium sp. 391_Methyba4
